dataset_role,event_id,oracle_v2_best_side,oracle_v2_best_d_target,oracle_v2_best_d_mid,oracle_v2_best_entry_scale,oracle_v2_best_exit_scale,complete_factor_pool_size,complete_h4a_pool_hard_valid_count,complete_h4a_pool_usable_valid_count,first_h4a_order_hard_valid_rank,first_h4a_order_usable_valid_rank,oracle_v2_usable_feasible,usable_recoverable_miss,same_production_target,same_production_lateral_pair,same_production_transition_pair,primary_mechanism,classification_contract
DEVELOPMENT,DVE002,LEFT,0.52000000000000002,0.38,0.51458109301505117,0.49716841625749453,38,0,0,,,True,True,False,False,True,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
DEVELOPMENT,DVE005,RIGHT,-0.39115057871499376,-0.44115057871499308,0.51458109301505117,0.60498681916591468,149,0,0,,,True,True,True,False,True,PROBE_ROOT_OR_D_MID_SELECTION,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
DEVELOPMENT,DVE029,RIGHT,-0.40695853087089273,-0.41000000000000003,1.310934367577036,3.5762483166862471,1217,8,8,62,62,True,True,True,False,True,CANDIDATE_BUDGET_TRUNCATION,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
DEVELOPMENT,DVE030,LEFT,0.27328719588206707,0.050000000000000003,0.51458109301505117,0.49716841625749453,48,0,0,,,True,True,False,False,True,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
DEVELOPMENT,DVE032,LEFT,0.57000000000000006,0.37,0.51458109301505117,0.49716841625749453,38,0,0,,,False,False,False,False,True,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
DEVELOPMENT,DVE037,LEFT,0.63,0.65000000000000002,0.51458109301505117,0.49716841625749453,45,0,0,,,True,True,False,False,True,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
DEVELOPMENT,DVE039,LEFT,0.84999999999999998,0.83000000000000007,1.310934367577036,5.7601554773499748,618,16,16,116,116,True,True,False,False,True,CANDIDATE_BUDGET_TRUNCATION,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
VALIDATION_SEEN_AFTER_V1,VUE004,RIGHT,-0.29095433130090148,-0.34000000000000002,0.51458109301505117,0.60498681916591468,149,0,0,,,True,True,True,False,True,PROBE_ROOT_OR_D_MID_SELECTION,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
VALIDATION_SEEN_AFTER_V1,VUE008,RIGHT,-0.27285951800775615,-0.31285951800775497,1.310934367577036,0.60498681916591468,149,0,0,,,True,True,True,False,True,PROBE_ROOT_OR_D_MID_SELECTION,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
VALIDATION_SEEN_AFTER_V1,VUE010,LEFT,0.57999999999999996,0.34000000000000002,0.51458109301505117,0.49716841625749453,38,0,0,,,False,False,False,False,True,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
VALIDATION_SEEN_AFTER_V1,VUE012,LEFT,0.54000000000000004,0.31,0.51458109301505117,0.49716841625749453,38,0,0,,,False,False,False,False,True,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
VALIDATION_SEEN_AFTER_V1,VUE013,LEFT,0.24733680294608396,0.21886279040005138,0.51458109301505117,6.5889193578593162,224,2,0,38,,False,False,True,False,True,CANDIDATE_BUDGET_TRUNCATION,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
VALIDATION_SEEN_AFTER_V1,VUE018,RIGHT,-0.33327528261821748,-0.34720848132730786,1.310934367577036,0.59340111172282095,199,0,0,,,True,True,True,False,True,PROBE_ROOT_OR_D_MID_SELECTION,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
VALIDATION_SEEN_AFTER_V1,VUE020,LEFT,0.41575544638207595,0.41575544638207595,0.51458109301505117,0.49716841625749453,34,0,0,,,True,True,False,False,True,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
VALIDATION_SEEN_AFTER_V1,VUE025,LEFT,0.14999999999999999,0.31250000000000006,0.71366941165554731,2.222262862792217,736,10,0,221,,True,True,True,False,True,CANDIDATE_BUDGET_TRUNCATION,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
VALIDATION_SEEN_AFTER_V1,VUE026,RIGHT,-0.39638516093082637,-0.44,0.51458109301505117,0.60498681916591468,149,0,0,,,True,True,True,False,True,PROBE_ROOT_OR_D_MID_SELECTION,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
VALIDATION_SEEN_AFTER_V1,VUE032,RIGHT,-0.58490603927861806,-0.68000000000000005,1.310934367577036,3.9473573093269398,375,0,0,,,True,True,True,False,True,PROBE_ROOT_OR_D_MID_SELECTION,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
VALIDATION_SEEN_AFTER_V1,VUE035,RIGHT,-0.59999999999999998,-0.64000000000000001,0.51458109301505117,0.49716841625749453,45,0,0,,,True,True,False,False,True,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,DESCRIPTIVE_SEEN_DATA_NO_METHOD_REDESIGN
