bag_path_a,bag_path_b,evidence_stages,exact_duplicate_confirmed,content_hash_performed,automatic_action
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_30_55.2,/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_30_55,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_42_16,/home/sungho/.local/share/Trash/files/rosbag2_2026_08_24-13_42_16,NORMALIZED_BASENAME;METADATA_SHA256,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_42_16.2,/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_42_16,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_42_16.2,/home/sungho/.local/share/Trash/files/rosbag2_2026_08_24-13_42_16,NORMALIZED_BASENAME;METADATA_SHA256,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/jetson_rosbags/f1tenth_ws/rosbag2_2026_07_20-20_50_39,/home/sungho/.local/share/Trash/files/jetson_rosbags/rosbag2_2026_07_20-20_50_39,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/jetson_rosbags/f1tenth_ws/rosbag2_2026_07_20-20_50_39,/home/sungho/.local/share/Trash/files/rosbag2_2026_07_20-20_50_39,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/jetson_rosbags/rosbag2_2026_07_20-20_49_09,/home/sungho/.local/share/Trash/files/rosbag2_2026_07_20-20_49_09,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/jetson_rosbags/rosbag2_2026_07_20-20_50_39,/home/sungho/.local/share/Trash/files/rosbag2_2026_07_20-20_50_39,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_07_23-22_43_33,/home/sungho/.local/share/Trash/files/run_063240,METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-18_02_15 (Copy),/home/sungho/.local/share/Trash/files/rosbag2_2026_08_05-18_02_15,NORMALIZED_BASENAME;METADATA_SHA256;STORAGE_SIZE_DURATION_TOPIC_SIGNATURE,False,False,NONE_READ_ONLY
