path,name,priority_labels,reason,research_priority_score,automatic_action
/home/sungho/.local/share/Trash/files/frenet_jump_20260728_153147,frenet_jump_20260728_153147,PRIORITY_LOCALIZATION_STRESS;PRIORITY_PLANNING_REPLAY,explicit frenet_jump stress group; inspect actual localization/Frenet topics | has obstacle+global+Frenet replay inputs,160,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_24-16_48_15,rosbag2_2026_08_24-16_48_15,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs,150,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_24-19_00_30,rosbag2_2026_08_24-19_00_30,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs,150,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_24-19_24_17,rosbag2_2026_08_24-19_24_17,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs,150,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_25-09_23_32,rosbag2_2026_08_25-09_23_32,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs,150,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_25-09_59_22,rosbag2_2026_08_25-09_59_22,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs,150,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_26-12_51_34,rosbag2_2026_08_26-12_51_34,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs,150,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_26-18_01_29,rosbag2_2026_08_26-18_01_29,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs,150,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_26-18_19_41,rosbag2_2026_08_26-18_19_41,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs,150,NONE_READ_ONLY
/home/sungho/.local/share/Trash/files/rosbag2_2026_08_26-20_24_30,rosbag2_2026_08_26-20_24_30,PRIORITY_RECENT_COMPETITION;PRIORITY_PLANNING_REPLAY,recording name is in requested 2026-08-24..26 window | has obstacle+global+Frenet replay inputs,150,NONE_READ_ONLY
