path,name,confirmed_static_obstacles,historical_static_obstacles,local_avoidance_path,selected_local_path,global_reference_waypoints,localization_pose,frenet_odometry,vehicle_odometry,simulator_ground_truth_pose,imu,scan,tf,tf_static,particle_cloud,drive_command,steering,CAN_REPLAY_PLANNER_INPUT,CAN_REPLAY_CURRENT_PLANNER_INPUT,HAS_LOCALIZATION,HAS_LOCALIZATION_COVARIANCE,HAS_FRENET_STATE,HAS_ODOMETRY,HAS_IMU,HAS_SCAN,HAS_TF,HAS_TF_STATIC,HAS_PARTICLES,HAS_GT,HAS_PLANNER_OUTPUT,HAS_DRIVE_COMMAND,HAS_STEERING,CAN_AUDIT_LOCALIZATION
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_30_55.2,Copy of rosbag2_2026_08_24-13_30_55.2,,,,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu;/sensors/imu/raw,/scan,/tf,/tf_static,,/ackermann_cmd;/drive;/drive_autonomous,/ackermann_cmd;/commands/servo/position;/sensors/servo_position_command,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_30_55,Copy of rosbag2_2026_08_24-13_30_55,,,,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu;/sensors/imu/raw,/scan,/tf,/tf_static,,/ackermann_cmd;/drive;/drive_autonomous,/ackermann_cmd;/commands/servo/position;/sensors/servo_position_command,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_42_16.2,Copy of rosbag2_2026_08_24-13_42_16.2,/confirmed_static_obs,/static_obs,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu;/sensors/imu/raw,/scan,/tf,/tf_static,,/ackermann_cmd;/drive;/drive_autonomous,/ackermann_cmd;/commands/servo/position;/sensors/servo_position_command,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True
/home/sungho/.local/share/Trash/files/Copy of rosbag2_2026_08_24-13_42_16,Copy of rosbag2_2026_08_24-13_42_16,/confirmed_static_obs,/static_obs,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu;/sensors/imu/raw,/scan,/tf,/tf_static,,/ackermann_cmd;/drive;/drive_autonomous,/ackermann_cmd;/commands/servo/position;/sensors/servo_position_command,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True
/home/sungho/.local/share/Trash/files/avoid_test,avoid_test,,,,,,,/car_state/frenet/odom,,/ego_racecar/odom,,,,,,/drive,,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False
/home/sungho/.local/share/Trash/files/avoid_test2,avoid_test2,,/static_obs,/avoid_waypoints,/local_waypoints,/global_waypoints,,/car_state/frenet/odom,,/ego_racecar/odom,,,,,,/drive,,True,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False
/home/sungho/.local/share/Trash/files/frenet_jump_20260728_153147,frenet_jump_20260728_153147,,/perception/obstacles,/avoid_waypoints,,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,,/ego_racecar/odom,,,,,,,,True,False,True,True,True,True,False,False,False,False,False,True,True,False,False,True
/home/sungho/.local/share/Trash/files/frenet_jump_20260728_153231,frenet_jump_20260728_153231,,,/avoid_waypoints,,,/pf/pose/odom,,,/ego_racecar/odom,,,,,,,,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,True
/home/sungho/.local/share/Trash/files/frenet_jump_20260728_153404,frenet_jump_20260728_153404,,/perception/obstacles,/avoid_waypoints,,/global_waypoints,,,,/ego_racecar/odom,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
/home/sungho/.local/share/Trash/files/frenet_jump_20260728_155119,frenet_jump_20260728_155119,,,,,,/pf/pose/odom,/car_state/frenet/odom,,/ego_racecar/odom,,,,,,,,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,True
