scope,case_id,h4a_primary_mechanism,oracle_v2_hard_feasible,oracle_v2_usable_feasible,h4a_hard,h4a_usable,current_s1_hard,current_s1_usable,hard_valid_candidate_exists_in_p3,current_s1_can_generate_select,minimal_change_or_experiment,evidence
VALIDATION_SEEN_AFTER_V1,VUE004,PROBE_ROOT_OR_D_MID_SELECTION,true,true,false,false,true,true,true,true,no_algorithm_change_needed_for_offline_case; mechanism-specific_closed_loop_confirmation,planning_study/p3_reference_oracle_v2/remaining_failure_taxonomy.csv:9; planning_study/gqsc_s1_closed_loop_candidate_v1/frozen_parity.csv:54
VALIDATION_SEEN_AFTER_V1,VUE008,PROBE_ROOT_OR_D_MID_SELECTION,true,true,false,false,true,true,true,true,no_algorithm_change_needed_for_offline_case; mechanism-specific_closed_loop_confirmation,planning_study/p3_reference_oracle_v2/remaining_failure_taxonomy.csv:10; planning_study/gqsc_s1_closed_loop_candidate_v1/frozen_parity.csv:58
VALIDATION_SEEN_AFTER_V1,VUE010,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,true,false,false,false,false,false,true,false,synthetic_coverage_audit_first; usable_recovery_change_not_justified_under_current_contract,planning_study/p3_reference_oracle_v2/remaining_failure_taxonomy.csv:11; planning_study/gqsc_s1_closed_loop_candidate_v1/frozen_parity.csv:60
VALIDATION_SEEN_AFTER_V1,VUE012,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,true,false,false,false,false,false,true,false,synthetic_coverage_audit_first; usable_recovery_change_not_justified_under_current_contract,planning_study/p3_reference_oracle_v2/remaining_failure_taxonomy.csv:12; planning_study/gqsc_s1_closed_loop_candidate_v1/frozen_parity.csv:62
VALIDATION_SEEN_AFTER_V1,VUE013,CANDIDATE_BUDGET_TRUNCATION,true,false,false,false,true,false,true,true,no_usable_target_in_declared_oracle_domain; retain_hard_only_result,planning_study/p3_reference_oracle_v2/remaining_failure_taxonomy.csv:13; planning_study/gqsc_s1_closed_loop_candidate_v1/frozen_parity.csv:63
VALIDATION_SEEN_AFTER_V1,VUE018,PROBE_ROOT_OR_D_MID_SELECTION,true,true,false,false,true,true,true,true,no_algorithm_change_needed_for_offline_case; mechanism-specific_closed_loop_confirmation,planning_study/p3_reference_oracle_v2/remaining_failure_taxonomy.csv:14; planning_study/gqsc_s1_closed_loop_candidate_v1/frozen_parity.csv:68
VALIDATION_SEEN_AFTER_V1,VUE020,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,true,true,false,false,true,true,true,true,no_algorithm_change_needed_for_offline_case; mechanism-specific_closed_loop_confirmation,planning_study/p3_reference_oracle_v2/remaining_failure_taxonomy.csv:15; planning_study/gqsc_s1_closed_loop_candidate_v1/frozen_parity.csv:70
VALIDATION_SEEN_AFTER_V1,VUE025,CANDIDATE_BUDGET_TRUNCATION,true,true,false,false,true,true,true,true,no_algorithm_change_needed_for_offline_case; mechanism-specific_closed_loop_confirmation,planning_study/p3_reference_oracle_v2/remaining_failure_taxonomy.csv:16; planning_study/gqsc_s1_closed_loop_candidate_v1/frozen_parity.csv:75
VALIDATION_SEEN_AFTER_V1,VUE026,PROBE_ROOT_OR_D_MID_SELECTION,true,true,false,false,true,true,true,true,no_algorithm_change_needed_for_offline_case; mechanism-specific_closed_loop_confirmation,planning_study/p3_reference_oracle_v2/remaining_failure_taxonomy.csv:17; planning_study/gqsc_s1_closed_loop_candidate_v1/frozen_parity.csv:76
VALIDATION_SEEN_AFTER_V1,VUE032,PROBE_ROOT_OR_D_MID_SELECTION,true,true,false,false,true,true,true,true,no_algorithm_change_needed_for_offline_case; mechanism-specific_closed_loop_confirmation,planning_study/p3_reference_oracle_v2/remaining_failure_taxonomy.csv:18; planning_study/gqsc_s1_closed_loop_candidate_v1/frozen_parity.csv:82
VALIDATION_SEEN_AFTER_V1,VUE035,MULTI_PARAMETER_OR_FACTOR_SPACE_COVERAGE,true,true,false,false,false,false,true,false,development_or_synthetic_factor_coverage_experiment_under_frozen_B128_K12_before_any_selector_change,planning_study/p3_reference_oracle_v2/remaining_failure_taxonomy.csv:19; planning_study/gqsc_s1_closed_loop_candidate_v1/frozen_parity.csv:85
