id,s,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left,d_right
0,0,9.621415,5.683495,-2.864609,-0.00122,5.386233,3.7,1.4,1.4
1,0.180705,9.447592,5.6341,-2.864719,0,5.508968,3.7,1.4,1.4
2,0.361409,9.27377,5.584704,-2.864719,0,5.629026,1.499767,1.4,1.4
3,0.542114,9.099947,5.535309,-2.864719,0,5.676968,-2,1.4,1.4
4,0.722818,8.926125,5.485913,-2.864719,0,5.612945,-2,1.4,1.4
5,0.903523,8.752302,5.436518,-2.864719,0,5.548183,-2,1.4,1.4
6,1.084228,8.57848,5.387122,-2.864719,0,5.482656,-2,1.4,1.4
7,1.264932,8.404658,5.337727,-2.864719,0,5.416336,-2,1.4,1.4
8,1.445637,8.230835,5.288331,-2.864539,0.002001,5.349194,-2,1.4,1.4
9,1.626341,8.057031,5.238873,-2.860525,0.042422,5.281199,-2,1.4,1.4
10,1.807046,7.883611,5.188084,-2.854355,0.025869,5.212316,-2,1.4,1.4
11,1.987743,7.710436,5.136486,-2.870111,-0.200246,5.142514,-2,1.4,1.4
12,2.168447,7.535503,5.091187,-2.898411,-0.112997,5.071749,-2,1.312233,1.312233
13,2.349106,7.359725,5.049478,-2.950432,-0.462628,5,3.7,1.174698,1.174698
14,2.52981,7.181032,5.022588,-2.993986,-0.019402,5.13198,2.299391,1.049349,1.049349
15,2.710501,7.00226,4.996327,-3.019628,-0.264399,5.21231,-2,0.924,0.924
16,2.891188,6.822441,4.978635,-3.067416,-0.264479,5.142511,-2,0.833535,0.833535
17,3.071893,6.641965,4.969553,-3.095042,-0.041289,5.071746,-2,0.724977,0.724977
18,3.252544,6.461479,4.96182,-3.138689,-0.441669,5,3.7,0.689535,0.689535
19,3.433248,6.280899,4.968504,3.098621,-0.066089,5.131979,3.7,0.66,0.66
20,3.613948,6.100415,4.977345,3.078451,-0.15716,5.260645,3.7,0.66,0.66
21,3.794626,5.920277,4.991305,3.038595,-0.283931,5.386224,3.7,0.647721,0.647721
22,3.975331,5.741066,5.014488,3.011289,-0.018288,5.508958,3.7,0.683163,0.683163
23,4.156027,5.56194,5.038263,2.995019,-0.161786,5.629012,3.7,0.749535,0.749535
24,4.33673,5.383579,5.067265,2.974714,-0.062946,5.746562,3.7,0.845814,0.845814
25,4.517435,5.205559,5.098294,2.964705,-0.047829,5.861757,3.7,0.971163,0.971163
26,4.698128,5.027824,5.130858,2.945305,-0.166885,5.974724,3.7,1.096512,1.096512
27,4.878833,4.851141,5.168769,2.929556,-0.007427,6.085601,-1.301292,1.258605,1.258605
28,5.059537,4.67451,5.206917,2.923585,-0.058651,6.046837,-2,1.4,1.4
29,5.24024,4.498293,5.246935,2.914367,-0.04338,5.986771,-2,1.4,1.4
30,5.420945,4.322394,5.288333,2.909869,-0.006402,5.926096,-2,1.4,1.4
31,5.601649,4.146544,5.329935,2.90557,-0.041176,5.864793,-2,1.4,1.4
32,5.782353,3.971008,5.372843,2.902023,0.001916,5.802842,-2,1.4,1.4
33,5.963058,3.795457,5.415691,2.904795,0.028769,5.740223,-2,1.4,1.4
34,6.143762,3.619686,5.457626,2.910808,0.037777,5.676913,-2,1.4,1.4
35,6.324466,3.443633,5.49836,2.915933,0.018949,5.612889,-2,1.4,1.4
36,6.505165,3.267446,5.53849,2.927564,0.109781,5.548128,-2,1.4,1.4
37,6.685869,3.090493,5.575118,2.940844,0.037203,5.482601,-2,1.4,1.4
38,6.866573,2.913298,5.610555,2.951298,0.0785,5.416281,-2,1.4,1.4
39,7.047259,2.735636,5.643472,2.974475,0.17801,5.349145,-2,1.4,1.4
40,7.227963,2.556989,5.670662,2.994674,0.04557,5.281149,-2,1.4,1.4
41,7.408639,2.378152,5.696375,3.021313,0.249258,5.212277,-2,1.385907,1.385907
42,7.589331,2.198323,5.714011,3.056711,0.142543,5.142477,-2,1.38,1.38
43,7.770035,2.018087,5.727011,3.080024,0.115573,5.071711,-2,1.38,1.38
44,7.950597,1.837761,5.736238,3.132367,0.463605,5,3.7,1.361814,1.361814
45,8.131302,1.657152,5.730341,-3.103615,0.05908,5.13198,2.297295,1.4,1.4
46,8.311963,1.476661,5.722518,-3.068685,0.327605,5.212224,-2,1.4,1.4
47,8.492595,1.296977,5.704035,-3.010462,0.316777,5.142446,-2,1.4,1.4
48,8.6733,1.118573,5.675291,-2.969316,0.138871,5.071679,-2,1.4,1.4
49,8.853782,0.941164,5.642123,-2.905628,0.565787,5,3.7,1.4,1.4
50,9.03448,0.767859,5.590964,-2.841978,0.139144,5.131975,-1.702241,1.4,1.4
51,9.215159,0.595914,5.53547,-2.800752,0.317424,5.071691,-2,1.4,1.4
52,9.395672,0.427586,5.470275,-2.728514,0.481946,5,1.997213,1.4,1.4
53,9.576376,0.265393,5.390603,-2.670761,0.15782,5.071667,-2,1.4,1.4
54,9.756829,0.105758,5.30646,-2.601007,0.61406,5,3.7,1.4,1.4
55,9.937482,-0.043746,5.20505,-2.521619,0.265117,5.131943,-1.703153,1.4,1.4
56,10.118181,-0.188259,5.09657,-2.472033,0.284294,5.071619,-2,1.4,1.4
57,10.298511,-0.326734,4.981055,-2.389243,0.631646,5,1.997166,1.4,1.4
58,10.479215,-0.451417,4.850256,-2.316946,0.169727,5.071666,-2,1.4,1.4
59,10.659664,-0.571862,4.715889,-2.242368,0.655923,5,0,1.4,1.4
60,10.840194,-0.67563,4.568162,-2.145922,0.411972,5,1.989213,1.4,1.4
61,11.020898,-0.768216,4.412978,-2.077597,0.346354,5.071382,-2,1.4,1.4
62,11.200628,-0.850493,4.253187,-1.958551,0.96992,5,1.998933,1.397721,1.397721
63,11.381332,-0.903978,4.08058,-1.85814,0.145497,5.071728,-2,1.38,1.38
64,11.561939,-0.952882,3.90672,-1.801174,0.485552,5,0,1.32,1.32
65,11.742374,-0.986341,3.729414,-1.713785,0.481603,5,1.996064,1.29,1.29
66,11.923079,-1.004296,3.549604,-1.65031,0.221918,5.071627,-2,1.26,1.26
67,12.103428,-1.015014,3.369573,-1.575728,0.603305,5,3.7,1.26,1.26
68,12.284108,-1.006074,3.189115,-1.503158,0.200796,5.131962,-1.703899,1.26,1.26
69,12.464787,-0.990594,3.009099,-1.450985,0.377371,5.071618,-2,1.29,1.29
70,12.645115,-0.96295,2.830903,-1.368163,0.539043,5,1.996967,1.32,1.32
71,12.82582,-0.918023,2.655872,-1.300967,0.20588,5.071659,-2,1.35,1.35
72,13.00625,-0.8667,2.482895,-1.229749,0.582407,5,3.7,1.4,1.4
73,13.186849,-0.797435,2.316107,-1.151276,0.286701,5.131903,-1.705177,1.4,1.4
74,13.367553,-0.719583,2.153034,-1.093438,0.354814,5.071505,-2,1.4,1.4
75,13.547594,-0.631782,1.995853,-0.999999,0.678867,5,1.998972,1.4,1.4
76,13.728298,-0.525036,1.850047,-0.927442,0.126313,5.07173,-2,1.4,1.4
77,13.90891,-0.415048,1.706787,-0.879561,0.403832,5,3.7,1.4,1.4
78,14.08948,-0.29494,1.571956,-0.816311,0.296286,5.131882,-1.701822,1.4,1.4
79,14.270184,-0.167695,1.443648,-0.764755,0.275121,5.071603,-2,1.4,1.4
80,14.450475,-0.034544,1.322095,-0.690201,0.54979,5,3.7,1.4,1.4
81,14.631171,0.110326,1.214094,-0.626774,0.153269,5.131974,2.296309,1.4,1.4
82,14.811839,0.258106,1.110162,-0.581345,0.349876,5.212187,-2,1.4,1.4
83,14.992337,0.41201,1.015859,-0.518101,0.350043,5.142461,-2,1.4,1.4
84,15.173042,0.571748,0.931373,-0.469191,0.191812,5.071694,-2,1.4,1.4
85,15.353563,0.734151,0.85255,-0.415528,0.402088,5,3.7,1.4,1.4
86,15.534238,0.90199,0.785663,-0.364743,0.160312,5.131958,3.7,1.38,1.38
87,15.714938,1.071718,0.723658,-0.325997,0.268838,5.260625,-1.403355,1.295907,1.295907
88,15.895421,1.244049,0.670027,-0.270396,0.346468,5.212256,-2,1.276791,1.276791
89,16.076125,1.419612,0.627227,-0.229022,0.111858,5.14245,-2,1.228326,1.228326
90,16.256773,1.595948,0.587996,-0.186516,0.358825,5.071706,-2,1.198605,1.198605
91,16.437323,1.774359,0.560283,-0.09966,0.603733,5,0,1.17,1.17
92,16.617578,1.95443,0.55215,-0.000481,0.494014,5,3.7,1.151814,1.151814
93,16.798281,2.134957,0.560109,0.035552,-0.094171,5.131978,3.7,1.14,1.14
94,16.978923,2.315534,0.564994,0.011329,-0.173919,5.260604,3.7,1.14,1.14
95,17.159628,2.496236,0.564202,-0.004381,0,5.386202,3.7,1.14,1.14
